account_id,customer_id,iban,bic,bank_name,account_type,role,opened_at,initial_balance,current_balance,overdraft_limit,status
A00000001,C0000001,011401533 495885454952,,Cardinal Regional Bank,checking,CURRENT,2021-09-04,6933.49,3479.5446572239757,1500,active
A00000002,C0000001,011401533 78646168,,Cardinal Regional Bank,savings,SAVINGS,2026-06-22,5733.21,5733.21,0.0,active
A00000003,C0000001,011401533 77824812041,,Cardinal Regional Bank,ira,RETIREMENT,2023-04-04,137336.48,137336.48,0.0,active
A00000004,C0000001,011401533 790680423,,Cardinal Regional Bank,joint_checking,JOINT,2026-06-22,8249.48,8249.48,0.0,active
A00000005,C0000002,011401533 68072456233,,Cardinal Regional Bank,checking,CURRENT,2018-11-09,17949.4,3011.5826962204187,2500,active
A00000006,C0000002,011401533 633817305,,Cardinal Regional Bank,savings,SAVINGS,2023-10-02,15038.83,18651.49,0.0,active
A00000007,C0000002,011401533 50629224227,,Cardinal Regional Bank,brokerage,INVEST,2023-07-02,185506.55,185506.55,0.0,active
A00000008,C0000002,011401533 554295835832,,Cardinal Regional Bank,ira,RETIREMENT,2026-06-22,240920.56,240920.56,0.0,active
A00000009,C0000002,011401533 080819499430,,Cardinal Regional Bank,joint_checking,JOINT,2024-06-15,12616.67,12616.67,0.0,active
A00000010,C0000003,021000021 97208628395,,First National Bank,checking,CURRENT,2018-04-01,3166.82,32.475230397171785,600,active
A00000011,C0000004,026009593 38489116736,,Summit Private Bank,checking,CURRENT,2004-05-08,5978.27,1165.7228529792853,3747.96,active
A00000012,C0000004,026009593 593675391,,Summit Private Bank,money_market,SAVINGS,2010-07-17,7654.06,11227.310000000001,0.0,active
A00000013,C0000004,026009593 5095834842,,Summit Private Bank,brokerage,INVEST,2011-06-12,126487.64,126487.64,0.0,active
A00000014,C0000004,026009593 53309791,,Summit Private Bank,ira,RETIREMENT,2006-11-16,19063.88,19063.88,0.0,active
A00000015,C0000005,031176110 70640988,,Vela Neobank,checking,CURRENT,2004-11-25,3272.2,1885.327920459544,1500,active
A00000016,C0000005,031176110 47593869348,,Vela Neobank,savings,SAVINGS,2010-02-10,5976.12,5976.12,0.0,active
A00000017,C0000005,031176110 117971748,,Vela Neobank,business_checking,BUSINESS,2005-08-27,6923.23,6704.73957967,0.0,active
A00000018,C0000006,021000021 06420044243,,First National Bank,checking,CURRENT,2026-06-11,7574.26,7574.26,600,active
A00000019,C0000007,031176110 41480872310,,Vela Neobank,checking,CURRENT,2019-04-03,5310.8,2395.032671876049,600,active
A00000020,C0000007,031176110 42175034,,Vela Neobank,savings,SAVINGS,2021-02-11,24700.81,25617.940000000002,0.0,active
A00000021,C0000008,011401533 98200758,,Cardinal Regional Bank,checking,CURRENT,2014-07-24,4412.98,3.532619894592054,800,active
A00000022,C0000008,011401533 45923220460,,Cardinal Regional Bank,savings,SAVINGS,2019-08-26,9059.05,9520.179999999998,0.0,active
A00000023,C0000008,011401533 564063453,,Cardinal Regional Bank,brokerage,INVEST,2018-03-04,29537.97,29537.97,0.0,active
A00000024,C0000009,026009593 13163723,,Summit Private Bank,checking,CURRENT,2015-12-19,8111.49,-1856.7577902370065,3976.91,active
A00000025,C0000009,026009593 09830819,,Summit Private Bank,savings,SAVINGS,2018-12-20,27111.94,32049.93,0.0,active
A00000026,C0000009,026009593 863937069931,,Summit Private Bank,brokerage,INVEST,2022-02-10,31794.63,31794.63,0.0,active
A00000027,C0000009,026009593 02911663,,Summit Private Bank,ira,RETIREMENT,2019-07-30,177317.47,177317.47,0.0,active
A00000028,C0000010,011401533 01019517046,,Cardinal Regional Bank,checking,CURRENT,1999-07-23,3810.23,4861.059839785401,1500,active
A00000029,C0000010,011401533 0879547026,,Cardinal Regional Bank,savings,SAVINGS,2002-09-28,41737.48,44087.33000000001,0.0,active
A00000030,C0000010,011401533 395500981,,Cardinal Regional Bank,ira,RETIREMENT,2007-02-13,88926.96,88926.96,0.0,active
A00000031,C0000010,011401533 648283051,,Cardinal Regional Bank,joint_checking,JOINT,2000-08-18,12678.6,12678.6,0.0,active
A00000032,C0000011,021000021 6831733432,,First National Bank,checking,CURRENT,2017-11-28,7310.76,3365.0483078371026,2500,active
A00000033,C0000011,021000021 54756325643,,First National Bank,savings,SAVINGS,2019-06-17,13498.98,17455.68,0.0,active
A00000034,C0000011,021000021 533638852,,First National Bank,ira,RETIREMENT,2024-08-18,133763.88,133763.88,0.0,active
A00000035,C0000011,021000021 33862399,,First National Bank,joint_checking,JOINT,2024-10-12,16507.34,16507.34,0.0,active
A00000036,C0000012,021000021 918651684263,,First National Bank,checking,CURRENT,1998-02-16,4729.42,1185.5183086214306,1500,active
A00000037,C0000012,021000021 572234046354,,First National Bank,savings,SAVINGS,2002-07-12,27506.35,28952.679999999997,0.0,active
A00000038,C0000012,021000021 711338331800,,First National Bank,brokerage,INVEST,2002-08-12,70279.41,70279.41,0.0,active
A00000039,C0000012,021000021 292882394,,First National Bank,ira,RETIREMENT,1998-11-29,140892.08,140892.08,0.0,active
